raceId,year,race_name,date,driverId,forename,surname,number,nationality,lap,stop,time,duration,milliseconds
841,2011,Australian Grand Prix,2011-03-27,153,Jaime,Alguersuari,,Spanish,1,1,17:05:23,26.898,26898
841,2011,Australian Grand Prix,2011-03-27,30,Michael,Schumacher,,German,1,1,17:05:52,25.021,25021
841,2011,Australian Grand Prix,2011-03-27,17,Mark,Webber,,Australian,11,1,17:20:48,23.426,23426
841,2011,Australian Grand Prix,2011-03-27,4,Fernando,Alonso,14,Spanish,12,1,17:22:34,23.251,23251
841,2011,Australian Grand Prix,2011-03-27,13,Felipe,Massa,19,Brazilian,13,1,17:24:10,23.842,23842
841,2011,Australian Grand Prix,2011-03-27,22,Rubens,Barrichello,,Brazilian,13,1,17:24:29,23.643,23643
841,2011,Australian Grand Prix,2011-03-27,20,Sebastian,Vettel,5,German,14,1,17:25:17,22.603,22603
841,2011,Australian Grand Prix,2011-03-27,814,Paul,di Resta,40,British,14,1,17:26:03,24.863,24863
841,2011,Australian Grand Prix,2011-03-27,816,Jérôme,d'Ambrosio,,Belgian,14,1,17:26:50,25.259,25259
841,2011,Australian Grand Prix,2011-03-27,67,Sébastien,Buemi,,Swiss,15,1,17:27:34,25.342,25342
841,2011,Australian Grand Prix,2011-03-27,2,Nick,Heidfeld,,German,15,1,17:27:41,22.994,22994
841,2011,Australian Grand Prix,2011-03-27,1,Lewis,Hamilton,44,British,16,1,17:28:24,23.227,23227
841,2011,Australian Grand Prix,2011-03-27,808,Vitaly,Petrov,,Russian,16,1,17:28:39,24.535,24535
841,2011,Australian Grand Prix,2011-03-27,3,Nico,Rosberg,6,German,16,1,17:29:00,23.716,23716
841,2011,Australian Grand Prix,2011-03-27,155,Kamui,Kobayashi,10,Japanese,16,1,17:29:06,24.064,24064
841,2011,Australian Grand Prix,2011-03-27,16,Adrian,Sutil,99,German,16,1,17:29:08,25.978,25978
841,2011,Australian Grand Prix,2011-03-27,15,Jarno,Trulli,,Italian,16,1,17:29:49,24.899,24899
841,2011,Australian Grand Prix,2011-03-27,18,Jenson,Button,22,British,17,1,17:30:24,16.867,16867
841,2011,Australian Grand Prix,2011-03-27,153,Jaime,Alguersuari,,Spanish,17,2,17:31:06,24.463,24463
841,2011,Australian Grand Prix,2011-03-27,5,Heikki,Kovalainen,,Finnish,17,1,17:31:11,24.865,24865
841,2011,Australian Grand Prix,2011-03-27,30,Michael,Schumacher,,German,17,2,17:32:08,23.988,23988
841,2011,Australian Grand Prix,2011-03-27,10,Timo,Glock,,German,18,1,17:33:02,23.792,23792
841,2011,Australian Grand Prix,2011-03-27,18,Jenson,Button,22,British,19,2,17:33:53,23.303,23303
841,2011,Australian Grand Prix,2011-03-27,815,Sergio,Pérez,11,Mexican,23,1,17:40:27,23.438,23438
841,2011,Australian Grand Prix,2011-03-27,22,Rubens,Barrichello,,Brazilian,23,2,17:40:45,37.856,37856
841,2011,Australian Grand Prix,2011-03-27,17,Mark,Webber,,Australian,26,2,17:44:29,22.52,22520
841,2011,Australian Grand Prix,2011-03-27,4,Fernando,Alonso,14,Spanish,27,2,17:46:04,24.733,24733
841,2011,Australian Grand Prix,2011-03-27,22,Rubens,Barrichello,,Brazilian,28,3,17:49:07,16.892,16892
841,2011,Australian Grand Prix,2011-03-27,67,Sébastien,Buemi,,Swiss,29,2,17:49:47,23.1,23100
841,2011,Australian Grand Prix,2011-03-27,2,Nick,Heidfeld,,German,30,2,17:51:32,25.098,25098
841,2011,Australian Grand Prix,2011-03-27,13,Felipe,Massa,19,Brazilian,31,2,17:52:28,24.5,24500
841,2011,Australian Grand Prix,2011-03-27,155,Kamui,Kobayashi,10,Japanese,32,2,17:54:21,24.192,24192
841,2011,Australian Grand Prix,2011-03-27,20,Sebastian,Vettel,5,German,36,2,17:59:17,24.036,24036
841,2011,Australian Grand Prix,2011-03-27,1,Lewis,Hamilton,44,British,36,2,17:59:29,23.199,23199
841,2011,Australian Grand Prix,2011-03-27,153,Jaime,Alguersuari,,Spanish,35,3,17:59:45,26.348,26348
841,2011,Australian Grand Prix,2011-03-27,808,Vitaly,Petrov,,Russian,36,2,17:59:47,25.683,25683
841,2011,Australian Grand Prix,2011-03-27,814,Paul,di Resta,40,British,36,2,18:00:48,24.332,24332
841,2011,Australian Grand Prix,2011-03-27,18,Jenson,Button,22,British,37,3,18:01:49,22.681,22681
841,2011,Australian Grand Prix,2011-03-27,16,Adrian,Sutil,99,German,37,2,18:02:15,23.871,23871
841,2011,Australian Grand Prix,2011-03-27,15,Jarno,Trulli,,Italian,37,2,18:03:55,24.848,24848
841,2011,Australian Grand Prix,2011-03-27,816,Jérôme,d'Ambrosio,,Belgian,38,2,18:06:53,26.446,26446
841,2011,Australian Grand Prix,2011-03-27,17,Mark,Webber,,Australian,41,3,18:07:37,26.23,26230
841,2011,Australian Grand Prix,2011-03-27,22,Rubens,Barrichello,,Brazilian,40,4,18:08:03,26.309,26309
841,2011,Australian Grand Prix,2011-03-27,4,Fernando,Alonso,14,Spanish,42,3,18:09:08,24.181,24181
841,2011,Australian Grand Prix,2011-03-27,13,Felipe,Massa,19,Brazilian,48,3,18:18:54,24.095,24095
842,2011,Malaysian Grand Prix,2011-04-10,16,Adrian,Sutil,99,German,3,1,16:09:07,31.694,31694
842,2011,Malaysian Grand Prix,2011-04-10,22,Rubens,Barrichello,,Brazilian,3,1,16:10:04,32.978,32978
842,2011,Malaysian Grand Prix,2011-04-10,17,Mark,Webber,,Australian,10,1,16:21:21,22.572,22572
842,2011,Malaysian Grand Prix,2011-04-10,814,Paul,di Resta,40,British,11,1,16:23:16,22.773,22773
842,2011,Malaysian Grand Prix,2011-04-10,1,Lewis,Hamilton,44,British,12,1,16:24:40,22.552,22552
842,2011,Malaysian Grand Prix,2011-04-10,20,Sebastian,Vettel,5,German,13,1,16:26:17,23.019,23019
842,2011,Malaysian Grand Prix,2011-04-10,2,Nick,Heidfeld,,German,13,1,16:26:28,23.9,23900
842,2011,Malaysian Grand Prix,2011-04-10,18,Jenson,Button,22,British,13,1,16:26:29,22.4,22400
842,2011,Malaysian Grand Prix,2011-04-10,13,Felipe,Massa,19,Brazilian,13,1,16:26:30,29.224,29224
842,2011,Malaysian Grand Prix,2011-04-10,15,Jarno,Trulli,,Italian,13,1,16:27:03,25.516,25516
842,2011,Malaysian Grand Prix,2011-04-10,4,Fernando,Alonso,14,Spanish,14,1,16:28:15,23.152,23152
842,2011,Malaysian Grand Prix,2011-04-10,30,Michael,Schumacher,,German,14,1,16:28:34,22.576,22576
842,2011,Malaysian Grand Prix,2011-04-10,808,Vitaly,Petrov,,Russian,15,1,16:30:10,23.182,23182
842,2011,Malaysian Grand Prix,2011-04-10,67,Sébastien,Buemi,,Swiss,15,1,16:30:23,23.28,23280
842,2011,Malaysian Grand Prix,2011-04-10,3,Nico,Rosberg,6,German,15,1,16:30:37,24.967,24967
842,2011,Malaysian Grand Prix,2011-04-10,5,Heikki,Kovalainen,,Finnish,15,1,16:30:37,29.084,29084
842,2011,Malaysian Grand Prix,2011-04-10,153,Jaime,Alguersuari,,Spanish,16,1,16:32:25,23.584,23584
842,2011,Malaysian Grand Prix,2011-04-10,16,Adrian,Sutil,99,German,16,2,16:32:31,22.046,22046
842,2011,Malaysian Grand Prix,2011-04-10,155,Kamui,Kobayashi,10,Japanese,17,1,16:33:53,23.28,23280
842,2011,Malaysian Grand Prix,2011-04-10,815,Sergio,Pérez,11,Mexican,17,1,16:34:14,23.597,23597
842,2011,Malaysian Grand Prix,2011-04-10,10,Timo,Glock,,German,17,1,16:34:28,24.617,24617
842,2011,Malaysian Grand Prix,2011-04-10,816,Jérôme,d'Ambrosio,,Belgian,17,1,16:34:39,26.252,26252
842,2011,Malaysian Grand Prix,2011-04-10,24,Vitantonio,Liuzzi,,Italian,17,1,16:34:56,27.815,27815
842,2011,Malaysian Grand Prix,2011-04-10,22,Rubens,Barrichello,,Brazilian,17,2,16:35:41,24.502,24502
842,2011,Malaysian Grand Prix,2011-04-10,67,Sébastien,Buemi,,Swiss,20,2,16:39:30,29.843,29843
842,2011,Malaysian Grand Prix,2011-04-10,17,Mark,Webber,,Australian,22,2,16:42:37,21.991,21991
842,2011,Malaysian Grand Prix,2011-04-10,18,Jenson,Button,22,British,23,2,16:44:11,22.471,22471
842,2011,Malaysian Grand Prix,2011-04-10,1,Lewis,Hamilton,44,British,24,2,16:45:48,22.611,22611
842,2011,Malaysian Grand Prix,2011-04-10,814,Paul,di Resta,40,British,24,2,16:46:20,22.419,22419
842,2011,Malaysian Grand Prix,2011-04-10,20,Sebastian,Vettel,5,German,25,2,16:47:27,21.893,21893
842,2011,Malaysian Grand Prix,2011-04-10,4,Fernando,Alonso,14,Spanish,26,2,16:49:19,23.894,23894
842,2011,Malaysian Grand Prix,2011-04-10,2,Nick,Heidfeld,,German,26,2,16:49:31,23.221,23221
842,2011,Malaysian Grand Prix,2011-04-10,13,Felipe,Massa,19,Brazilian,27,2,16:51:17,22.541,22541
842,2011,Malaysian Grand Prix,2011-04-10,808,Vitaly,Petrov,,Russian,27,2,16:51:25,22.68,22680
842,2011,Malaysian Grand Prix,2011-04-10,30,Michael,Schumacher,,German,28,2,16:53:26,22.261,22261
842,2011,Malaysian Grand Prix,2011-04-10,3,Nico,Rosberg,6,German,29,2,16:55:28,22.577,22577
842,2011,Malaysian Grand Prix,2011-04-10,17,Mark,Webber,,Australian,32,3,17:00:01,22.069,22069
842,2011,Malaysian Grand Prix,2011-04-10,153,Jaime,Alguersuari,,Spanish,32,2,17:00:55,22.888,22888
842,2011,Malaysian Grand Prix,2011-04-10,16,Adrian,Sutil,99,German,32,3,17:00:56,22.55,22550
842,2011,Malaysian Grand Prix,2011-04-10,67,Sébastien,Buemi,,Swiss,32,3,17:01:03,27.439,27439
842,2011,Malaysian Grand Prix,2011-04-10,5,Heikki,Kovalainen,,Finnish,34,2,17:04:41,23.336,23336
842,2011,Malaysian Grand Prix,2011-04-10,10,Timo,Glock,,German,34,2,17:05:19,24.429,24429
842,2011,Malaysian Grand Prix,2011-04-10,816,Jérôme,d'Ambrosio,,Belgian,35,2,17:07:20,24.416,24416
842,2011,Malaysian Grand Prix,2011-04-10,155,Kamui,Kobayashi,10,Japanese,36,2,17:07:26,23.442,23442
842,2011,Malaysian Grand Prix,2011-04-10,1,Lewis,Hamilton,44,British,37,3,17:08:28,25.382,25382
842,2011,Malaysian Grand Prix,2011-04-10,814,Paul,di Resta,40,British,37,3,17:09:21,23.977,23977
842,2011,Malaysian Grand Prix,2011-04-10,18,Jenson,Button,22,British,38,3,17:10:13,22.483,22483
842,2011,Malaysian Grand Prix,2011-04-10,13,Felipe,Massa,19,Brazilian,38,3,17:10:28,22.893,22893
842,2011,Malaysian Grand Prix,2011-04-10,2,Nick,Heidfeld,,German,39,3,17:12:09,22.602,22602
842,2011,Malaysian Grand Prix,2011-04-10,24,Vitantonio,Liuzzi,,Italian,38,2,17:13:32,26.554,26554
842,2011,Malaysian Grand Prix,2011-04-10,3,Nico,Rosberg,6,German,40,3,17:15:05,22.526,22526
842,2011,Malaysian Grand Prix,2011-04-10,20,Sebastian,Vettel,5,German,41,3,17:15:08,22.313,22313
842,2011,Malaysian Grand Prix,2011-04-10,4,Fernando,Alonso,14,Spanish,41,3,17:15:25,23.812,23812
842,2011,Malaysian Grand Prix,2011-04-10,30,Michael,Schumacher,,German,42,3,17:18:08,22.227,22227
842,2011,Malaysian Grand Prix,2011-04-10,17,Mark,Webber,,Australian,43,4,17:19:10,22.161,22161
842,2011,Malaysian Grand Prix,2011-04-10,808,Vitaly,Petrov,,Russian,44,3,17:21:08,28.694,28694
842,2011,Malaysian Grand Prix,2011-04-10,4,Fernando,Alonso,14,Spanish,46,4,17:24:24,27.182,27182
842,2011,Malaysian Grand Prix,2011-04-10,24,Vitantonio,Liuzzi,,Italian,44,3,17:25:07,38.823,38823
842,2011,Malaysian Grand Prix,2011-04-10,1,Lewis,Hamilton,44,British,52,4,17:34:48,22.466,22466
843,2011,Chinese Grand Prix,2011-04-17,153,Jaime,Alguersuari,,Spanish,9,1,15:19:36,22.419,22419
843,2011,Chinese Grand Prix,2011-04-17,24,Vitantonio,Liuzzi,,Italian,9,1,15:20:00,14.16,14160
843,2011,Chinese Grand Prix,2011-04-17,30,Michael,Schumacher,,German,10,1,15:21:12,20.522,20522
843,2011,Chinese Grand Prix,2011-04-17,17,Mark,Webber,,Australian,10,1,15:21:27,23.442,23442
843,2011,Chinese Grand Prix,2011-04-17,813,Pastor,Maldonado,13,Venezuelan,10,1,15:21:35,23.16,23160
843,2011,Chinese Grand Prix,2011-04-17,814,Paul,di Resta,40,British,11,1,15:22:57,21.989,21989
843,2011,Chinese Grand Prix,2011-04-17,3,Nico,Rosberg,6,German,12,1,15:24:32,20.771,20771
843,2011,Chinese Grand Prix,2011-04-17,67,Sébastien,Buemi,,Swiss,12,1,15:24:56,22.01,22010
843,2011,Chinese Grand Prix,2011-04-17,18,Jenson,Button,22,British,14,1,15:27:59,23.779,23779
843,2011,Chinese Grand Prix,2011-04-17,20,Sebastian,Vettel,5,German,14,1,15:28:00,21.995,21995
843,2011,Chinese Grand Prix,2011-04-17,155,Kamui,Kobayashi,10,Japanese,14,1,15:28:17,21.855,21855
843,2011,Chinese Grand Prix,2011-04-17,13,Felipe,Massa,19,Brazilian,15,1,15:29:47,21.624,21624
843,2011,Chinese Grand Prix,2011-04-17,1,Lewis,Hamilton,44,British,15,1,15:29:49,20.878,20878
843,2011,Chinese Grand Prix,2011-04-17,16,Adrian,Sutil,99,German,15,1,15:30:01,20.989,20989
843,2011,Chinese Grand Prix,2011-04-17,4,Fernando,Alonso,14,Spanish,16,1,15:31:34,22.524,22524
843,2011,Chinese Grand Prix,2011-04-17,815,Sergio,Pérez,11,Mexican,16,1,15:31:55,21.473,21473
843,2011,Chinese Grand Prix,2011-04-17,22,Rubens,Barrichello,,Brazilian,16,1,15:32:01,21.709,21709
843,2011,Chinese Grand Prix,2011-04-17,67,Sébastien,Buemi,,Swiss,16,2,15:32:19,24.722,24722
843,2011,Chinese Grand Prix,2011-04-17,10,Timo,Glock,,German,16,1,15:32:33,22.683,22683
843,2011,Chinese Grand Prix,2011-04-17,808,Vitaly,Petrov,,Russian,17,1,15:33:36,21.981,21981
843,2011,Chinese Grand Prix,2011-04-17,2,Nick,Heidfeld,,German,18,1,15:35:28,22.216,22216
843,2011,Chinese Grand Prix,2011-04-17,5,Heikki,Kovalainen,,Finnish,19,1,15:37:31,22.485,22485
843,2011,Chinese Grand Prix,2011-04-17,15,Jarno,Trulli,,Italian,20,1,15:39:24,23.029,23029
843,2011,Chinese Grand Prix,2011-04-17,816,Jérôme,d'Ambrosio,,Belgian,20,1,15:39:50,22.901,22901
843,2011,Chinese Grand Prix,2011-04-17,24,Vitantonio,Liuzzi,,Italian,21,2,15:42:05,24.467,24467
843,2011,Chinese Grand Prix,2011-04-17,39,Narain,Karthikeyan,,Indian,23,1,15:45:28,26.049,26049
843,2011,Chinese Grand Prix,2011-04-17,18,Jenson,Button,22,British,24,2,15:45:35,20.758,20758
843,2011,Chinese Grand Prix,2011-04-17,3,Nico,Rosberg,6,German,25,2,15:47:13,22.005,22005
843,2011,Chinese Grand Prix,2011-04-17,1,Lewis,Hamilton,44,British,25,2,15:47:20,20.533,20533
843,2011,Chinese Grand Prix,2011-04-17,17,Mark,Webber,,Australian,25,2,15:47:44,21.132,21132
843,2011,Chinese Grand Prix,2011-04-17,813,Pastor,Maldonado,13,Venezuelan,25,2,15:48:09,22.062,22062
843,2011,Chinese Grand Prix,2011-04-17,30,Michael,Schumacher,,German,26,2,15:49:15,21.964,21964
843,2011,Chinese Grand Prix,2011-04-17,10,Timo,Glock,,German,28,2,15:54:22,21.908,21908
843,2011,Chinese Grand Prix,2011-04-17,16,Adrian,Sutil,99,German,30,2,15:56:26,21.058,21058
843,2011,Chinese Grand Prix,2011-04-17,155,Kamui,Kobayashi,10,Japanese,30,2,15:56:28,21.936,21936
843,2011,Chinese Grand Prix,2011-04-17,2,Nick,Heidfeld,,German,30,2,15:56:29,21.821,21821
843,2011,Chinese Grand Prix,2011-04-17,20,Sebastian,Vettel,5,German,31,2,15:57:37,21.533,21533
843,2011,Chinese Grand Prix,2011-04-17,4,Fernando,Alonso,14,Spanish,32,2,15:59:39,21.251,21251
843,2011,Chinese Grand Prix,2011-04-17,814,Paul,di Resta,40,British,32,2,15:59:51,21.218,21218
843,2011,Chinese Grand Prix,2011-04-17,13,Felipe,Massa,19,Brazilian,33,2,16:01:04,21.168,21168
843,2011,Chinese Grand Prix,2011-04-17,67,Sébastien,Buemi,,Swiss,33,3,16:02:13,21.928,21928
843,2011,Chinese Grand Prix,2011-04-17,816,Jérôme,d'Ambrosio,,Belgian,34,2,16:05:10,22.802,22802
843,2011,Chinese Grand Prix,2011-04-17,22,Rubens,Barrichello,,Brazilian,35,2,16:05:24,21.481,21481
843,2011,Chinese Grand Prix,2011-04-17,815,Sergio,Pérez,11,Mexican,36,2,16:06:55,23.397,23397
843,2011,Chinese Grand Prix,2011-04-17,18,Jenson,Button,22,British,37,3,16:08:00,21.237,21237
843,2011,Chinese Grand Prix,2011-04-17,808,Vitaly,Petrov,,Russian,37,2,16:08:34,22.005,22005
843,2011,Chinese Grand Prix,2011-04-17,1,Lewis,Hamilton,44,British,38,3,16:09:38,20.567,20567
843,2011,Chinese Grand Prix,2011-04-17,3,Nico,Rosberg,6,German,39,3,16:11:19,20.72,20720
843,2011,Chinese Grand Prix,2011-04-17,30,Michael,Schumacher,,German,39,3,16:11:49,21.4,21400
843,2011,Chinese Grand Prix,2011-04-17,17,Mark,Webber,,Australian,40,3,16:13:29,21.091,21091
843,2011,Chinese Grand Prix,2011-04-17,10,Timo,Glock,,German,39,3,16:14:17,33.827,33827
843,2011,Chinese Grand Prix,2011-04-17,5,Heikki,Kovalainen,,Finnish,40,2,16:14:27,21.89,21890
843,2011,Chinese Grand Prix,2011-04-17,813,Pastor,Maldonado,13,Venezuelan,40,3,16:14:36,27.62,27620
843,2011,Chinese Grand Prix,2011-04-17,15,Jarno,Trulli,,Italian,42,2,16:18:14,22.26,22260
843,2011,Chinese Grand Prix,2011-04-17,24,Vitantonio,Liuzzi,,Italian,45,3,16:25:39,23.499,23499
843,2011,Chinese Grand Prix,2011-04-17,16,Adrian,Sutil,99,German,47,3,16:26:24,28.708,28708
843,2011,Chinese Grand Prix,2011-04-17,815,Sergio,Pérez,11,Mexican,48,3,16:28:01,13.9,13900
843,2011,Chinese Grand Prix,2011-04-17,815,Sergio,Pérez,11,Mexican,50,4,16:31:39,28.845,28845
844,2011,Turkish Grand Prix,2011-05-08,815,Sergio,Pérez,11,Mexican,1,1,15:05:18,29.27,29270
844,2011,Turkish Grand Prix,2011-05-08,30,Michael,Schumacher,,German,2,1,15:06:35,30.182,30182
844,2011,Turkish Grand Prix,2011-05-08,808,Vitaly,Petrov,,Russian,8,1,15:16:06,21.422,21422
844,2011,Turkish Grand Prix,2011-05-08,13,Felipe,Massa,19,Brazilian,9,1,15:17:37,22.022,22022
844,2011,Turkish Grand Prix,2011-05-08,1,Lewis,Hamilton,44,British,9,1,15:17:38,20.833,20833
844,2011,Turkish Grand Prix,2011-05-08,67,Sébastien,Buemi,,Swiss,9,1,15:17:47,21.769,21769
844,2011,Turkish Grand Prix,2011-05-08,17,Mark,Webber,,Australian,10,1,15:19:04,21.05,21050
844,2011,Turkish Grand Prix,2011-05-08,4,Fernando,Alonso,14,Spanish,10,1,15:19:05,21.308,21308
